## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[NGS0001_sorted.bam] OUTPUT=NGS0001_sorted_marked.bam METRICS_FILE=marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 07 23:50:38 UTC 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
nextera	1002	8674963	3536	28332	132	207011	994	0.023869	179697884

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000112	8267433	0	8268383
2.0	1.95309	194277	994	193370
3.0	2.861155	5998	0	5956
4.0	3.726425	238	0	237
5.0	4.550916	6	0	6
6.0	5.33655	0	0	0
7.0	6.085158	0	0	0
8.0	6.798485	0	0	0
9.0	7.478194	0	0	0
10.0	8.12587	0	0	0
11.0	8.743021	0	0	0
12.0	9.331087	0	0	0
13.0	9.891439	0	0	0
14.0	10.425381	0	0	0
15.0	10.93416	0	0	0
16.0	11.418961	0	0	0
17.0	11.880914	0	0	0
18.0	12.321096	0	0	0
19.0	12.740532	0	0	0
20.0	13.140201	0	0	0
21.0	13.521035	0	0	0
22.0	13.88392	0	0	0
23.0	14.229703	0	0	0
24.0	14.55919	0	0	0
25.0	14.873148	0	0	0
26.0	15.17231	0	0	0
27.0	15.457373	0	0	0
28.0	15.729002	0	0	0
29.0	15.987828	0	0	0
30.0	16.234457	0	0	0
31.0	16.469463	0	0	0
32.0	16.693393	0	0	0
33.0	16.90677	0	0	0
34.0	17.11009	0	0	0
35.0	17.303828	0	0	0
36.0	17.488436	0	0	0
37.0	17.664343	0	0	0
38.0	17.83196	0	0	0
39.0	17.991678	0	0	0
40.0	18.143868	0	0	0
41.0	18.288886	0	0	0
42.0	18.427069	0	0	0
43.0	18.55874	0	0	0
44.0	18.684206	0	0	0
45.0	18.803758	0	0	0
46.0	18.917677	0	0	0
47.0	19.026226	0	0	0
48.0	19.129659	0	0	0
49.0	19.228218	0	0	0
50.0	19.322132	0	0	0
51.0	19.41162	0	0	0
52.0	19.496891	0	0	0
53.0	19.578143	0	0	0
54.0	19.655565	0	0	0
55.0	19.729339	0	0	0
56.0	19.799636	0	0	0
57.0	19.86662	0	0	0
58.0	19.930447	0	0	0
59.0	19.991266	0	0	0
60.0	20.049218	0	0	0
61.0	20.10444	0	0	0
62.0	20.157059	0	0	0
63.0	20.207198	0	0	0
64.0	20.254974	0	0	0
65.0	20.300498	0	0	0
66.0	20.343877	0	0	0
67.0	20.385212	0	0	0
68.0	20.424598	0	0	0
69.0	20.462129	0	0	0
70.0	20.49789	0	0	0
71.0	20.531967	0	0	0
72.0	20.564437	0	0	0
73.0	20.595377	0	0	0
74.0	20.624858	0	0	0
75.0	20.652951	0	0	0
76.0	20.679719	0	0	0
77.0	20.705226	0	0	0
78.0	20.729531	0	0	0
79.0	20.75269	0	0	0
80.0	20.774758	0	0	0
81.0	20.795786	0	0	0
82.0	20.815823	0	0	0
83.0	20.834915	0	0	0
84.0	20.853108	0	0	0
85.0	20.870443	0	0	0
86.0	20.886961	0	0	0
87.0	20.902701	0	0	0
88.0	20.917699	0	0	0
89.0	20.93199	0	0	0
90.0	20.945608	0	0	0
91.0	20.958584	0	0	0
92.0	20.970948	0	0	0
93.0	20.98273	0	0	0
94.0	20.993956	0	0	0
95.0	21.004654	0	0	0
96.0	21.014847	0	0	0
97.0	21.02456	0	0	0
98.0	21.033815	0	0	0
99.0	21.042634	0	0	0
100.0	21.051037	0	0	0

